seed,algorithm,squared_error,effective_sample_size,runtime
1,PMMH,0.0003384182437212864,230.11739007319983,1.208276636
1,PGIBBS,4.6213989021482793e-5,415.5818792981409,2.193404609
1,EHMM,0.012384748894631096,71.32476313115521,1.589275092
2,PMMH,0.16138332652617685,3.562907391929682,0.471548226
2,PGIBBS,83.42328912717322,5.948018046725489,0.963925223
2,EHMM,0.010404081233234776,6.261347033563584,1.157325935
3,PMMH,0.00023111861493472696,207.63596257138568,0.371358798
3,PGIBBS,0.00016730985357234045,371.78157684179257,0.97287069
3,EHMM,0.032663544448193374,417.64399367699303,1.173092263
4,PMMH,0.0009577726997044339,129.48919749942849,0.357684528
4,PGIBBS,0.0006714752328727654,288.39521278812083,0.958539664
4,EHMM,0.01036666963090898,306.91246344880835,1.177404685
5,PMMH,0.0007165977988659337,67.76020463484808,0.327519972
5,PGIBBS,4.2313214202867655e-5,251.30501471798993,0.977724688
5,EHMM,0.010313120562788573,235.2733510895437,1.1706717
